01:32.623  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:33.007  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:33.433  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:33.838  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:34.222  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:34.637  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:35.039  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:35.443  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:35.871  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:36.253  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:36.640  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:37.034  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:37.445  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:37.829  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:38.234  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:38.639  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:39.039  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:39.444  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:39.855  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:40.248  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:40.659  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:41.055  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:41.443  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:41.842  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:42.246  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:42.639  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
grasp glass seed 1008: 13 obs, success=True, 1.7 min
01:43.310  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
