01:25.092  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:25.492  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:25.911  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:26.316  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:26.703  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:27.099  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:27.509  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:27.907  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:28.304  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:28.706  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:29.133  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:29.523  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:29.929  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:30.337  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:30.751  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:31.156  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:31.544  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:31.939  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
grasp opaque seed 1007: 13 obs, success=True, 1.5 min
01:32.607  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:33.018  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:33.433  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:33.858  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:34.237  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:34.617  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:35.022  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:35.442  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:35.852  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:36.235  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:36.623  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:37.016  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:37.414  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
