01:12.495  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:12.944  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:13.421  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:13.893  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:14.350  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:14.798  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:15.280  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:15.761  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:16.221  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:16.668  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:17.125  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:17.573  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:18.026  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:18.479  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:18.941  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:19.390  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:19.846  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:20.280  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:20.809  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:21.293  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:21.760  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:22.223  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:22.616  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:23.395  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:23.882  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:24.312  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:24.762  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:25.216  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:25.661  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:26.114  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:26.570  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:27.022  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:27.473  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:27.946  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:28.390  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:28.812  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:29.254  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:29.665  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:30.073  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:30.485  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:30.895  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:31.284  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:31.674  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:32.081  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:32.509  render           | Saved: '/tmp/clearvla_render_opaque.png'
