01:16.224  render           | Saved: '/tmp/clearvla_render_glass.png'
01:16.671  render           | Saved: '/tmp/clearvla_render_glass.png'
01:17.125  render           | Saved: '/tmp/clearvla_render_glass.png'
01:17.581  render           | Saved: '/tmp/clearvla_render_glass.png'
01:18.028  render           | Saved: '/tmp/clearvla_render_glass.png'
01:18.480  render           | Saved: '/tmp/clearvla_render_glass.png'
01:18.941  render           | Saved: '/tmp/clearvla_render_glass.png'
01:19.397  render           | Saved: '/tmp/clearvla_render_glass.png'
01:19.850  render           | Saved: '/tmp/clearvla_render_glass.png'
01:20.289  render           | Saved: '/tmp/clearvla_render_glass.png'
01:20.812  render           | Saved: '/tmp/clearvla_render_glass.png'
01:21.296  render           | Saved: '/tmp/clearvla_render_glass.png'
01:21.759  render           | Saved: '/tmp/clearvla_render_glass.png'
01:22.223  render           | Saved: '/tmp/clearvla_render_glass.png'
01:22.928  render           | Saved: '/tmp/clearvla_render_glass.png'
01:23.412  render           | Saved: '/tmp/clearvla_render_glass.png'
01:23.885  render           | Saved: '/tmp/clearvla_render_glass.png'
01:24.306  render           | Saved: '/tmp/clearvla_render_glass.png'
01:24.762  render           | Saved: '/tmp/clearvla_render_glass.png'
01:25.218  render           | Saved: '/tmp/clearvla_render_glass.png'
01:25.661  render           | Saved: '/tmp/clearvla_render_glass.png'
01:26.117  render           | Saved: '/tmp/clearvla_render_glass.png'
01:26.572  render           | Saved: '/tmp/clearvla_render_glass.png'
01:27.025  render           | Saved: '/tmp/clearvla_render_glass.png'
01:27.476  render           | Saved: '/tmp/clearvla_render_glass.png'
01:27.945  render           | Saved: '/tmp/clearvla_render_glass.png'
01:28.401  render           | Saved: '/tmp/clearvla_render_glass.png'
01:28.823  render           | Saved: '/tmp/clearvla_render_glass.png'
01:29.265  render           | Saved: '/tmp/clearvla_render_glass.png'
01:29.674  render           | Saved: '/tmp/clearvla_render_glass.png'
01:30.090  render           | Saved: '/tmp/clearvla_render_glass.png'
01:30.504  render           | Saved: '/tmp/clearvla_render_glass.png'
01:30.912  render           | Saved: '/tmp/clearvla_render_glass.png'
01:31.300  render           | Saved: '/tmp/clearvla_render_glass.png'
01:31.702  render           | Saved: '/tmp/clearvla_render_glass.png'
01:32.100  render           | Saved: '/tmp/clearvla_render_glass.png'
