train 88534 frames / 2520 episodes; val 6148 frames
params: 30.381M
{'step': 5900, 'loss': 0.06043456640094519, 'lr': 9.546596346382866e-05, 'gn': 0.9099456071853638, 'it_s': 1.165077535024636}
{'step': 6000, 'loss': 0.0589546162635088, 'lr': 9.528234811097782e-05, 'gn': 0.7062057256698608, 'it_s': 1.16507973572999}
  val 0.0391
{'step': 6100, 'loss': 0.060335820838809014, 'lr': 9.509529358847655e-05, 'gn': 0.6972600817680359, 'it_s': 1.164243958352448}
{'step': 6200, 'loss': 0.060368733555078505, 'lr': 9.49048158664028e-05, 'gn': 0.6234468817710876, 'it_s': 1.1641642898052398}
{'step': 6300, 'loss': 0.059481350593268874, 'lr': 9.471093120709552e-05, 'gn': 0.7317711114883423, 'it_s': 1.1641137419214127}
{'step': 6400, 'loss': 0.0611249415203929, 'lr': 9.451365616376641e-05, 'gn': 1.0372697114944458, 'it_s': 1.1642031770675345}
{'step': 6500, 'loss': 0.060096259713172916, 'lr': 9.431300757908664e-05, 'gn': 0.5634569525718689, 'it_s': 1.1642487928567187}
{'step': 6600, 'loss': 0.056263906843960286, 'lr': 9.410900258374877e-05, 'gn': 0.7166981101036072, 'it_s': 1.1641878360488171}
{'step': 6700, 'loss': 0.05946567256003618, 'lr': 9.390165859500436e-05, 'gn': 0.7534749507904053, 'it_s': 1.1642685247489235}
{'step': 6800, 'loss': 0.05896766781806946, 'lr': 9.369099331517677e-05, 'gn': 0.6742041110992432, 'it_s': 1.1643619029090542}
{'step': 6900, 'loss': 0.059179352559149266, 'lr': 9.347702473014991e-05, 'gn': 0.865253210067749, 'it_s': 1.1646741350249474}
{'step': 7000, 'loss': 0.059732257425785064, 'lr': 9.325977110783264e-05, 'gn': 0.8568612337112427, 'it_s': 1.1650190771736573}
  val 0.0372
{'step': 7100, 'loss': 0.059550052732229235, 'lr': 9.303925099659912e-05, 'gn': 0.7804922461509705, 'it_s': 1.164649456812927}
{'step': 7200, 'loss': 0.05870658878237009, 'lr': 9.281548322370518e-05, 'gn': 0.7334021925926208, 'it_s': 1.1648063488710738}
{'step': 7300, 'loss': 0.057860029451549055, 'lr': 9.258848689368095e-05, 'gn': 0.6132537126541138, 'it_s': 1.1651781187329682}
{'step': 7400, 'loss': 0.057654882594943044, 'lr': 9.235828138669977e-05, 'gn': 0.5781108736991882, 'it_s': 1.165448546762162}
{'step': 7500, 'loss': 0.058092113435268405, 'lr': 9.212488635692361e-05, 'gn': 0.7374211549758911, 'it_s': 1.1657572664985723}
{'step': 7600, 'loss': 0.057464271374046805, 'lr': 9.188832173082496e-05, 'gn': 0.6683884263038635, 'it_s': 1.1659525337448506}
{'step': 7700, 'loss': 0.05840205390006304, 'lr': 9.164860770548568e-05, 'gn': 0.6379266381263733, 'it_s': 1.1659908478963883}
{'step': 7800, 'loss': 0.05844107091426849, 'lr': 9.140576474687264e-05, 'gn': 0.5725019574165344, 'it_s': 1.166096738329876}
{'step': 7900, 'loss': 0.05591169584542513, 'lr': 9.115981358809032e-05, 'gn': 0.774967610836029, 'it_s': 1.166067798457427}
{'step': 8000, 'loss': 0.057607855908572675, 'lr': 9.091077522761078e-05, 'gn': 0.7535223364830017, 'it_s': 1.1662329998226997}
  val 0.0377
{'step': 8100, 'loss': 0.05892853386700153, 'lr': 9.065867092748082e-05, 'gn': 0.7088149785995483, 'it_s': 1.1655567759619891}
{'step': 8200, 'loss': 0.05812403127551079, 'lr': 9.040352221150677e-05, 'gn': 0.8311092853546143, 'it_s': 1.1655912986277726}
{'step': 8300, 'loss': 0.05991506092250347, 'lr': 9.01453508634167e-05, 'gn': 0.6508192420005798, 'it_s': 1.165659570635122}
{'step': 8400, 'loss': 0.05727711245417595, 'lr': 8.988417892500084e-05, 'gn': 0.6196949481964111, 'it_s': 1.165838730700265}
{'step': 8500, 'loss': 0.05923190608620644, 'lr': 8.962002869422955e-05, 'gn': 1.0253825187683105, 'it_s': 1.1658104358034038}
{'step': 8600, 'loss': 0.05977334327995777, 'lr': 8.935292272334964e-05, 'gn': 0.5596840381622314, 'it_s': 1.165787081590936}
{'step': 8700, 'loss': 0.05828905526548624, 'lr': 8.908288381695893e-05, 'gn': 0.843504011631012, 'it_s': 1.1658423697268705}
{'step': 8800, 'loss': 0.05959288571029901, 'lr': 8.880993503005932e-05, 'gn': 0.7752739787101746, 'it_s': 1.16603157629009}
{'step': 8900, 'loss': 0.06093721047043801, 'lr': 8.853409966608832e-05, 'gn': 0.7653505206108093, 'it_s': 1.1660042518049696}
{'step': 9000, 'loss': 0.059761951491236684, 'lr': 8.825540127492967e-05, 'gn': 0.7038852572441101, 'it_s': 1.1661359276839895}
  val 0.0382
{'step': 9100, 'loss': 0.05810007266700268, 'lr': 8.797386365090252e-05, 'gn': 0.847560465335846, 'it_s': 1.165702960494883}
{'step': 9200, 'loss': 0.05808953400701285, 'lr': 8.76895108307301e-05, 'gn': 0.8172295689582825, 'it_s': 1.1656576515323644}
{'step': 9300, 'loss': 0.06128685303032398, 'lr': 8.740236709148746e-05, 'gn': 0.8804874420166016, 'it_s': 1.1656175195053187}
{'step': 9400, 'loss': 0.06122942678630352, 'lr': 8.711245694852886e-05, 'gn': 0.9030607342720032, 'it_s': 1.16562724804991}
{'step': 9500, 'loss': 0.061588507182896136, 'lr': 8.681980515339464e-05, 'gn': 0.8833357095718384, 'it_s': 1.1655684915003655}
{'step': 9600, 'loss': 0.06245949372649193, 'lr': 8.652443669169809e-05, 'gn': 0.7900832891464233, 'it_s': 1.1655783808767055}
{'step': 9700, 'loss': 0.06187718529254198, 'lr': 8.622637678099224e-05, 'gn': 0.7533276677131653, 'it_s': 1.165561214366101}
{'step': 9800, 'loss': 0.06288984078913927, 'lr': 8.592565086861683e-05, 'gn': 0.684762179851532, 'it_s': 1.1656412772269584}
{'step': 9900, 'loss': 0.06319817595183849, 'lr': 8.562228462952577e-05, 'gn': 1.35635507106781, 'it_s': 1.1655865352545516}
{'step': 10000, 'loss': 0.06830124236643315, 'lr': 8.531630396409509e-05, 'gn': 0.7982261180877686, 'it_s': 1.165563755510701}
  val 0.0387
{'step': 10100, 'loss': 0.07147868771106004, 'lr': 8.500773499591157e-05, 'gn': 1.0290095806121826, 'it_s': 1.1645877721862725}
{'step': 10200, 'loss': 0.0675573680922389, 'lr': 8.469660406954253e-05, 'gn': 1.2408080101013184, 'it_s': 1.1624174864758265}
{'step': 10300, 'loss': 0.06657288592308759, 'lr': 8.43829377482865e-05, 'gn': 1.01846182346344, 'it_s': 1.1596722195968245}
{'step': 10400, 'loss': 0.06954021193087101, 'lr': 8.406676281190543e-05, 'gn': 0.9391855001449585, 'it_s': 1.1570190834139678}
{'step': 10500, 'loss': 0.06802729092538357, 'lr': 8.374810625433825e-05, 'gn': 1.1638097763061523, 'it_s': 1.1541857630346346}
{'step': 10600, 'loss': 0.06707990281283856, 'lr': 8.342699528139629e-05, 'gn': 0.8555302023887634, 'it_s': 1.1506634636612856}
{'step': 10700, 'loss': 0.062287964150309565, 'lr': 8.310345730844047e-05, 'gn': 1.231249451637268, 'it_s': 1.147725258462435}
{'step': 10800, 'loss': 0.0678467868641019, 'lr': 8.277751995804069e-05, 'gn': 0.9793765544891357, 'it_s': 1.1455678728593897}
