02:51.996  render           | Saved: '/tmp/clearvla_render_glass_front.png'
02:52.600  render           | Saved: '/tmp/clearvla_render_glass_front.png'
02:53.297  render           | Saved: '/tmp/clearvla_render_glass_front.png'
02:54.066  render           | Saved: '/tmp/clearvla_render_glass_front.png'
02:54.774  render           | Saved: '/tmp/clearvla_render_glass_front.png'
02:55.389  render           | Saved: '/tmp/clearvla_render_glass_front.png'
02:56.983  render           | Saved: '/tmp/clearvla_render_glass_front.png'
02:57.703  render           | Saved: '/tmp/clearvla_render_glass_front.png'
02:59.910  render           | Saved: '/tmp/clearvla_render_glass_front.png'
03:01.099  render           | Saved: '/tmp/clearvla_render_glass_front.png'
03:01.818  render           | Saved: '/tmp/clearvla_render_glass_front.png'
03:03.643  render           | Saved: '/tmp/clearvla_render_glass_front.png'
03:04.455  render           | Saved: '/tmp/clearvla_render_glass_front.png'
03:05.094  render           | Saved: '/tmp/clearvla_render_glass_front.png'
03:05.610  render           | Saved: '/tmp/clearvla_render_glass_front.png'
03:06.188  render           | Saved: '/tmp/clearvla_render_glass_front.png'
03:06.885  render           | Saved: '/tmp/clearvla_render_glass_front.png'
03:07.445  render           | Saved: '/tmp/clearvla_render_glass_front.png'
03:07.894  render           | Saved: '/tmp/clearvla_render_glass_front.png'
03:08.443  render           | Saved: '/tmp/clearvla_render_glass_front.png'
03:10.211  render           | Saved: '/tmp/clearvla_render_glass_front.png'
03:10.809  render           | Saved: '/tmp/clearvla_render_glass_front.png'
03:11.631  render           | Saved: '/tmp/clearvla_render_glass_front.png'
03:12.266  render           | Saved: '/tmp/clearvla_render_glass_front.png'
03:12.808  render           | Saved: '/tmp/clearvla_render_glass_front.png'
03:13.405  render           | Saved: '/tmp/clearvla_render_glass_front.png'
03:14.403  render           | Saved: '/tmp/clearvla_render_glass_front.png'
03:15.867  render           | Saved: '/tmp/clearvla_render_glass_front.png'
03:16.994  render           | Saved: '/tmp/clearvla_render_glass_front.png'
03:17.755  render           | Saved: '/tmp/clearvla_render_glass_front.png'
03:18.479  render           | Saved: '/tmp/clearvla_render_glass_front.png'
03:19.518  render           | Saved: '/tmp/clearvla_render_glass_front.png'
03:21.558  render           | Saved: '/tmp/clearvla_render_glass_front.png'
03:22.260  render           | Saved: '/tmp/clearvla_render_glass_front.png'
03:23.031  render           | Saved: '/tmp/clearvla_render_glass_front.png'
03:24.783  render           | Saved: '/tmp/clearvla_render_glass_front.png'
03:25.537  render           | Saved: '/tmp/clearvla_render_glass_front.png'
03:26.103  render           | Saved: '/tmp/clearvla_render_glass_front.png'
03:26.738  render           | Saved: '/tmp/clearvla_render_glass_front.png'
03:28.243  render           | Saved: '/tmp/clearvla_render_glass_front.png'
03:29.124  render           | Saved: '/tmp/clearvla_render_glass_front.png'
03:29.821  render           | Saved: '/tmp/clearvla_render_glass_front.png'
03:30.407  render           | Saved: '/tmp/clearvla_render_glass_front.png'
03:31.065  render           | Saved: '/tmp/clearvla_render_glass_front.png'
03:32.375  render           | Saved: '/tmp/clearvla_render_glass_front.png'
03:33.070  render           | Saved: '/tmp/clearvla_render_glass_front.png'
03:35.070  render           | Saved: '/tmp/clearvla_render_glass_front.png'
03:36.982  render           | Saved: '/tmp/clearvla_render_glass_front.png'
03:38.305  render           | Saved: '/tmp/clearvla_render_glass_front.png'
03:39.004  render           | Saved: '/tmp/clearvla_render_glass_front.png'
03:41.081  render           | Saved: '/tmp/clearvla_render_glass_front.png'
03:43.106  render           | Saved: '/tmp/clearvla_render_glass_front.png'
03:43.835  render           | Saved: '/tmp/clearvla_render_glass_front.png'
03:44.493  render           | Saved: '/tmp/clearvla_render_glass_front.png'
03:45.111  render           | Saved: '/tmp/clearvla_render_glass_front.png'
03:45.753  render           | Saved: '/tmp/clearvla_render_glass_front.png'
03:46.269  render           | Saved: '/tmp/clearvla_render_glass_front.png'
03:46.738  render           | Saved: '/tmp/clearvla_render_glass_front.png'
03:47.209  render           | Saved: '/tmp/clearvla_render_glass_front.png'
03:47.761  render           | Saved: '/tmp/clearvla_render_glass_front.png'
03:49.974  render           | Saved: '/tmp/clearvla_render_glass_front.png'
03:50.732  render           | Saved: '/tmp/clearvla_render_glass_front.png'
03:51.620  render           | Saved: '/tmp/clearvla_render_glass_front.png'
03:53.321  render           | Saved: '/tmp/clearvla_render_glass_front.png'
03:54.121  render           | Saved: '/tmp/clearvla_render_glass_front.png'
03:54.833  render           | Saved: '/tmp/clearvla_render_glass_front.png'
03:55.664  render           | Saved: '/tmp/clearvla_render_glass_front.png'
03:56.704  render           | Saved: '/tmp/clearvla_render_glass_front.png'
03:58.867  render           | Saved: '/tmp/clearvla_render_glass_front.png'
04:00.368  render           | Saved: '/tmp/clearvla_render_glass_front.png'
04:00.859  render           | Saved: '/tmp/clearvla_render_glass_front.png'
04:01.301  render           | Saved: '/tmp/clearvla_render_glass_front.png'
04:01.800  render           | Saved: '/tmp/clearvla_render_glass_front.png'
04:03.964  render           | Saved: '/tmp/clearvla_render_glass_front.png'
04:04.689  render           | Saved: '/tmp/clearvla_render_glass_front.png'
04:05.470  render           | Saved: '/tmp/clearvla_render_glass_front.png'
04:07.386  render           | Saved: '/tmp/clearvla_render_glass_front.png'
04:08.174  render           | Saved: '/tmp/clearvla_render_glass_front.png'
04:09.852  render           | Saved: '/tmp/clearvla_render_glass_front.png'
04:10.502  render           | Saved: '/tmp/clearvla_render_glass_front.png'
04:11.464  render           | Saved: '/tmp/clearvla_render_glass_front.png'
04:12.065  render           | Saved: '/tmp/clearvla_render_glass_front.png'
04:12.591  render           | Saved: '/tmp/clearvla_render_glass_front.png'
04:13.147  render           | Saved: '/tmp/clearvla_render_glass_front.png'
