03:31.008  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
03:32.375  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
03:35.938  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
03:36.693  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
03:37.391  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
03:38.648  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
03:41.005  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
03:43.006  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
03:43.823  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
03:44.486  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
03:45.117  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
03:45.760  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
03:46.348  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
03:46.938  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
03:47.495  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
03:49.744  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
03:50.463  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
03:50.947  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
03:51.824  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
03:53.417  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
03:54.059  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
03:54.525  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
03:55.087  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
03:55.798  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
03:56.674  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
03:58.531  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
04:00.258  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
04:00.941  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
04:02.622  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
04:03.039  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
04:03.497  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
04:04.181  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
04:04.880  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
04:05.660  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
04:07.431  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
04:08.164  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
04:09.770  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
