train 27716 frames / 810 episodes; val 3094 frames
params: 30.281M
/Users/yogyamehrotra/Desktop/ClearVLA/data/dataset.py:64: UserWarning: The given NumPy array is not writable, and PyTorch does not support non-writable tensors. This means writing to this tensor will result in undefined behavior. You may want to copy the array to protect its data or make it writable before converting it to a tensor. This type of warning will be suppressed for the rest of this program. (Triggered internally at /Users/runner/work/pytorch/pytorch/torch/csrc/utils/tensor_numpy.cpp:219.)
  vis = torch.from_numpy(np.asarray(self._mm(t, m)[row]))                                   # (196,768) fp16
{'step': 5200, 'loss': 0.0520459495857358, 'lr': 9.83783287313134e-05, 'gn': 0.9016045928001404, 'it_s': 2.7564982709233323}
{'step': 5300, 'loss': 0.05197218790650368, 'lr': 9.83006824495838e-05, 'gn': 0.561712920665741, 'it_s': 2.755589245069596}
{'step': 5400, 'loss': 0.049614210352301596, 'lr': 9.822125624639587e-05, 'gn': 0.7425752282142639, 'it_s': 2.7545239259135217}
{'step': 5500, 'loss': 0.048658742625266316, 'lr': 9.814005338664973e-05, 'gn': 0.8741350173950195, 'it_s': 2.751381472362671}
{'step': 5600, 'loss': 0.0487516475468874, 'lr': 9.80570772082769e-05, 'gn': 0.5043660998344421, 'it_s': 2.7475233095230385}
{'step': 5700, 'loss': 0.048330434393137695, 'lr': 9.797233112210307e-05, 'gn': 0.6813585162162781, 'it_s': 2.746596162493735}
{'step': 5800, 'loss': 0.04929809857159853, 'lr': 9.788581861170792e-05, 'gn': 0.5853784084320068, 'it_s': 2.745246964833395}
{'step': 5900, 'loss': 0.04613781316205859, 'lr': 9.779754323328192e-05, 'gn': 0.7681406736373901, 'it_s': 2.7432069174943163}
{'step': 6000, 'loss': 0.04546033013612032, 'lr': 9.770750861548009e-05, 'gn': 0.5661075711250305, 'it_s': 2.7416396098975597}
  val 0.0328
{'step': 6100, 'loss': 0.047304317858070134, 'lr': 9.761571845927296e-05, 'gn': 0.6414580941200256, 'it_s': 2.738469098523505}
{'step': 6200, 'loss': 0.04578489514067769, 'lr': 9.752217653779432e-05, 'gn': 0.7391570806503296, 'it_s': 2.737792825768893}
{'step': 6300, 'loss': 0.04565179431810975, 'lr': 9.742688669618619e-05, 'gn': 0.6089454293251038, 'it_s': 2.735648757015815}
{'step': 6400, 'loss': 0.04692058043554425, 'lr': 9.732985285144072e-05, 'gn': 0.6865766048431396, 'it_s': 2.7340010783920974}
{'step': 6500, 'loss': 0.046761294826865196, 'lr': 9.723107899223921e-05, 'gn': 0.5949435234069824, 'it_s': 2.7319289483570417}
{'step': 6600, 'loss': 0.043178807571530343, 'lr': 9.713056917878818e-05, 'gn': 0.6305992603302002, 'it_s': 2.7303297871819163}
{'step': 6700, 'loss': 0.046114715170115235, 'lr': 9.702832754265235e-05, 'gn': 0.7634408473968506, 'it_s': 2.728915054121369}
{'step': 6800, 'loss': 0.04450233645737171, 'lr': 9.692435828658494e-05, 'gn': 0.6258364915847778, 'it_s': 2.727509125465328}
{'step': 6900, 'loss': 0.043611495699733493, 'lr': 9.681866568435484e-05, 'gn': 0.5393620729446411, 'it_s': 2.7265213128170274}
{'step': 7000, 'loss': 0.04646045120432973, 'lr': 9.671125408057098e-05, 'gn': 0.5683202147483826, 'it_s': 2.725363145440331}
  val 0.0344
{'step': 7100, 'loss': 0.04518771043047309, 'lr': 9.660212789050367e-05, 'gn': 0.7562474012374878, 'it_s': 2.723534771871886}
{'step': 7200, 'loss': 0.04552495939657092, 'lr': 9.649129159990318e-05, 'gn': 0.7893917560577393, 'it_s': 2.7216918805456767}
{'step': 7300, 'loss': 0.041518384274095294, 'lr': 9.637874976481529e-05, 'gn': 0.6271796822547913, 'it_s': 2.7199076778948608}
{'step': 7400, 'loss': 0.04298898629844189, 'lr': 9.626450701139404e-05, 'gn': 0.413375586271286, 'it_s': 2.7177494817216927}
{'step': 7500, 'loss': 0.043015346825122834, 'lr': 9.614856803571157e-05, 'gn': 0.6858780384063721, 'it_s': 2.716194617682596}
{'step': 7600, 'loss': 0.04109510313719511, 'lr': 9.603093760356506e-05, 'gn': 0.8423775434494019, 'it_s': 2.7146420092713837}
{'step': 7700, 'loss': 0.04327978519722819, 'lr': 9.591162055028088e-05, 'gn': 0.5844921469688416, 'it_s': 2.7134431084865374}
{'step': 7800, 'loss': 0.04242614928632975, 'lr': 9.579062178051572e-05, 'gn': 0.5547324419021606, 'it_s': 2.7124901248504565}
{'step': 7900, 'loss': 0.039576778560876845, 'lr': 9.566794626805511e-05, 'gn': 0.622981607913971, 'it_s': 2.7118071309611538}
{'step': 8000, 'loss': 0.04329211164265871, 'lr': 9.554359905560886e-05, 'gn': 0.5852039456367493, 'it_s': 2.7108010650051146}
  val 0.0303
{'step': 8100, 'loss': 0.04267432084307075, 'lr': 9.541758525460387e-05, 'gn': 0.7017120718955994, 'it_s': 2.708207375125524}
{'step': 8200, 'loss': 0.043417523801326754, 'lr': 9.52899100449739e-05, 'gn': 0.6777728199958801, 'it_s': 2.7070499778171784}
{'step': 8300, 'loss': 0.041987753976136445, 'lr': 9.516057867494678e-05, 'gn': 0.5164002776145935, 'it_s': 2.7065304422800756}
{'step': 8400, 'loss': 0.04381694285199046, 'lr': 9.502959646082854e-05, 'gn': 0.8044042587280273, 'it_s': 2.706258156456773}
{'step': 8500, 'loss': 0.04256798816844821, 'lr': 9.489696878678501e-05, 'gn': 0.8818274736404419, 'it_s': 2.7043924195550635}
{'step': 8600, 'loss': 0.04126390239223838, 'lr': 9.476270110462039e-05, 'gn': 0.5275072455406189, 'it_s': 2.703303333601881}
{'step': 8700, 'loss': 0.04032773159444332, 'lr': 9.462679893355321e-05, 'gn': 0.6540085673332214, 'it_s': 2.7020482955718124}
{'step': 8800, 'loss': 0.04004000440239906, 'lr': 9.448926785998945e-05, 'gn': 0.42541196942329407, 'it_s': 2.701407098537789}
{'step': 8900, 'loss': 0.041366246100515126, 'lr': 9.435011353729281e-05, 'gn': 0.5774281620979309, 'it_s': 2.700762807028039}
{'step': 9000, 'loss': 0.04180488526821136, 'lr': 9.420934168555252e-05, 'gn': 0.524489164352417, 'it_s': 2.700422580893143}
  val 0.0300
{'step': 9100, 'loss': 0.03828803928568959, 'lr': 9.406695809134804e-05, 'gn': 0.4723929166793823, 'it_s': 2.6992505036729337}
{'step': 9200, 'loss': 0.04175985665991902, 'lr': 9.392296860751121e-05, 'gn': 0.6011866927146912, 'it_s': 2.6992257617254607}
{'step': 9300, 'loss': 0.040144073106348516, 'lr': 9.377737915288578e-05, 'gn': 0.5173943638801575, 'it_s': 2.6989462267649182}
{'step': 9400, 'loss': 0.039598329197615384, 'lr': 9.363019571208397e-05, 'gn': 0.5499299168586731, 'it_s': 2.6984602506865647}
{'step': 9500, 'loss': 0.03994059463962912, 'lr': 9.348142433524059e-05, 'gn': 0.7781144380569458, 'it_s': 2.6978888290273884}
{'step': 9600, 'loss': 0.04017104253172874, 'lr': 9.33310711377642e-05, 'gn': 0.5992147326469421, 'it_s': 2.698064183182083}
{'step': 9700, 'loss': 0.03939442049711943, 'lr': 9.317914230008587e-05, 'gn': 0.5103748440742493, 'it_s': 2.6982052013235727}
{'step': 9800, 'loss': 0.041941687390208246, 'lr': 9.302564406740507e-05, 'gn': 0.737758994102478, 'it_s': 2.697779531333466}
{'step': 9900, 'loss': 0.04259113382548094, 'lr': 9.28705827494329e-05, 'gn': 0.7510191202163696, 'it_s': 2.69691987034128}
{'step': 10000, 'loss': 0.04083071166649461, 'lr': 9.271396472013283e-05, 'gn': 0.5386269688606262, 'it_s': 2.696729898287413}
  val 0.0263
{'step': 10100, 'loss': 0.04170761527493596, 'lr': 9.255579641745862e-05, 'gn': 0.7368613481521606, 'it_s': 2.6956850579930918}
{'step': 10200, 'loss': 0.04161198502406478, 'lr': 9.239608434308968e-05, 'gn': 0.7363518476486206, 'it_s': 2.6957665980750507}
{'step': 10300, 'loss': 0.03989666832610965, 'lr': 9.223483506216384e-05, 'gn': 0.9457889199256897, 'it_s': 2.695831994793464}
{'step': 10400, 'loss': 0.04449703810736537, 'lr': 9.207205520300748e-05, 'gn': 0.8702014088630676, 'it_s': 2.6956604946546348}
{'step': 10500, 'loss': 0.042580237444490195, 'lr': 9.190775145686302e-05, 'gn': 0.6555501222610474, 'it_s': 2.6959574049865}
